"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","11,34","12,50","12,50","11,34","658,91K","-9,93%"
"30/12/2019","12,59","12,48","12,59","11,63","1,94M","0,88%"
"27/12/2019","12,48","11,20","12,77","11,20","3,52M","0,89%"
"26/12/2019","12,37","13,00","13,45","12,37","1,94M","-9,97%"
"25/12/2019","13,74","13,89","14,65","13,50","5,00M","-1,15%"
"24/12/2019","13,90","13,90","13,90","13,15","2,20M","9,97%"
"23/12/2019","12,64","11,65","12,64","11,65","1,89M","9,91%"
"20/12/2019","11,50","10,89","11,50","10,81","821,91K","6,48%"
"19/12/2019","10,80","10,66","10,97","10,02","237,68K","0,93%"
"18/12/2019","10,70","11,50","11,90","10,60","708,60K","-6,79%"
"17/12/2019","11,48","10,98","11,58","10,98","910,40K","9,02%"
"16/12/2019","10,53","9,69","10,53","9,69","614,28K","9,92%"
"13/12/2019","9,58","9,33","9,60","9,33","180,33K","3,01%"
"12/12/2019","9,30","9,37","9,53","9,06","299,94K","-0,75%"
"11/12/2019","9,37","9,64","9,79","9,35","480,07K","-1,88%"
"10/12/2019","9,55","9,65","9,79","9,50","1,31M","2,69%"
"09/12/2019","9,30","9,15","9,60","8,68","1,01M","4,26%"
"06/12/2019","8,92","8,80","8,93","8,80","639,28K","9,85%"
"05/12/2019","8,12","7,97","8,15","7,97","106,81K","3,44%"
"04/12/2019","7,85","7,95","7,95","7,82","75,25K","0,38%"
"03/12/2019","7,82","8,05","8,05","7,80","149,73K","-2,86%"
"02/12/2019","8,05","8,35","8,35","8,00","94,38K","-0,74%"
"29/11/2019","8,11","8,02","8,20","8,02","65,77K","1,37%"
"28/11/2019","8,00","7,86","8,19","7,86","1,00M","1,91%"
"27/11/2019","7,85","7,52","7,85","7,52","102,16K","4,67%"
"26/11/2019","7,50","8,00","8,09","7,44","440,97K","-6,25%"
"25/11/2019","8,00","8,28","8,50","8,00","122,41K","-1,23%"
