"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","56,00","56,00","60,00","55,00","27,82K","0,00%"
"30/12/2019","56,00","59,00","60,00","56,00","19,18K","-5,08%"
"27/12/2019","59,00","63,00","64,00","59,00","41,01K","-6,35%"
"26/12/2019","63,00","66,00","68,00","63,00","104,23K","-3,08%"
"25/12/2019","65,00","64,00","66,00","62,00","16,25K","0,00%"
"24/12/2019","65,00","64,00","67,00","64,00","40,04K","1,56%"
"23/12/2019","64,00","64,00","65,00","62,00","23,53K","0,00%"
"20/12/2019","64,00","62,00","64,00","62,00","0,33K","3,23%"
"19/12/2019","62,00","63,00","64,00","61,00","10,87K","-3,13%"
"18/12/2019","64,00","67,00","67,00","63,00","8,78K","-1,54%"
"17/12/2019","65,00","63,00","69,00","62,00","32,24K","3,17%"
"16/12/2019","63,00","63,00","64,00","62,00","13,95K","1,61%"
"13/12/2019","62,00","62,00","63,00","61,00","3,73K","-1,59%"
"12/12/2019","63,00","65,00","65,00","62,00","5,83K","-1,56%"
"11/12/2019","64,00","64,00","67,00","63,00","14,55K","1,59%"
"10/12/2019","63,00","60,00","63,00","60,00","14,38K","10,53%"
"09/12/2019","57,00","57,00","58,00","55,00","1,94K","1,79%"
"06/12/2019","56,00","51,00","57,00","51,00","18,91K","7,69%"
"05/12/2019","52,00","52,00","52,00","52,00","0,43K","0,00%"
"04/12/2019","52,00","52,00","52,00","52,00","0,27K","1,96%"
"03/12/2019","51,00","52,00","52,00","51,00","3,40K","-1,92%"
"02/12/2019","52,00","53,00","53,00","52,00","0,74K","0,00%"
"29/11/2019","52,00","50,00","53,00","50,00","8,73K","-3,70%"
"28/11/2019","54,00","53,00","56,00","52,00","16,26K","1,89%"
"27/11/2019","53,00","52,00","53,00","52,00","7,26K","1,92%"
"26/11/2019","52,00","53,00","54,00","52,00","3,92K","-3,70%"
"25/11/2019","54,00","53,00","54,00","53,00","1,28K","1,89%"
"22/11/2019","53,00","54,00","54,00","52,00","4,41K","1,92%"
"21/11/2019","52,00","55,00","55,00","52,00","6,98K","-5,45%"
"20/11/2019","55,00","54,00","55,00","54,00","2,78K","-1,79%"
"19/11/2019","56,00","57,00","58,00","55,00","3,25K","-3,45%"
"15/11/2019","58,00","58,00","58,00","58,00","0,91K","0,00%"
"14/11/2019","58,00","58,00","58,00","57,00","0,33K","1,75%"
"13/11/2019","57,00","58,00","58,00","57,00","4,35K","-1,72%"
