"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","74,50","69,20","74,50","69,20","5,72K","4,93%"
"27/12/2019","71,00","68,12","71,00","68,12","4,49K","1,43%"
"26/12/2019","70,00","68,02","70,00","68,02","81,33K","2,91%"
"25/12/2019","68,02","71,00","71,00","68,02","6,78K","-4,20%"
"24/12/2019","71,00","72,50","74,50","71,00","10,24K","0,00%"
"23/12/2019","71,00","71,00","73,00","69,01","2,48K","1,43%"
"20/12/2019","70,00","67,20","70,00","67,20","153,72K","2,93%"
"19/12/2019","68,01","67,00","68,45","67,00","62,72K","1,51%"
"18/12/2019","67,00","68,00","68,00","67,00","0,09K","-2,19%"
"17/12/2019","68,50","67,89","68,75","67,20","1,52K","1,47%"
"16/12/2019","67,51","65,51","67,51","65,50","5,14K","2,29%"
"13/12/2019","66,00","65,25","66,00","65,25","125,52K","1,37%"
"12/12/2019","65,11","65,10","66,00","65,10","2,04K","-1,35%"
"11/12/2019","66,00","65,30","66,00","64,80","1,19K","1,07%"
"10/12/2019","65,30","65,20","66,00","65,20","2,28K","0,45%"
"09/12/2019","65,01","65,00","65,01","65,00","0,04K","-1,50%"
"06/12/2019","66,00","65,10","66,00","65,10","1,79K","2,01%"
"05/12/2019","64,70","64,55","66,00","64,50","1,20K","-0,46%"
"04/12/2019","65,00","64,51","65,00","64,50","23,51K","0,78%"
"03/12/2019","64,50","64,50","64,50","64,50","1,02K","-0,03%"
"02/12/2019","64,52","64,52","64,52","64,52","0,08K","0,03%"
"29/11/2019","64,50","64,30","65,00","64,30","23,88K","-1,53%"
"28/11/2019","65,50","64,00","65,50","64,00","0,75K","1,55%"
"27/11/2019","64,50","63,70","64,50","63,70","10,45K","0,00%"
"26/11/2019","64,50","64,00","64,55","64,00","0,66K","0,78%"
"25/11/2019","64,00","64,00","64,00","64,00","0,02K","-2,87%"
"22/11/2019","65,89","64,98","65,89","63,52","1,12K","2,95%"
"21/11/2019","64,00","63,50","64,00","63,50","1,32K","1,06%"
"20/11/2019","63,33","63,21","65,00","63,21","6,13K","-2,57%"
"19/11/2019","65,00","64,75","65,00","64,75","45,40K","1,56%"
"15/11/2019","64,00","64,00","64,00","64,00","0,35K","1,59%"
"14/11/2019","63,00","63,65","63,65","63,00","4,62K","-3,08%"
"13/11/2019","65,00","63,03","65,00","63,03","38,53K","0,48%"
"12/11/2019","64,69","63,04","64,69","63,00","0,79K","1,08%"
"08/11/2019","64,00","63,50","64,00","63,50","0,17K","0,79%"
"07/11/2019","63,50","63,01","63,50","62,50","8,72K","0,79%"
"05/11/2019","63,00","63,50","63,50","63,00","7,86K","-0,79%"
"04/11/2019","63,50","63,50","63,50","63,50","0,02K","-2,31%"
"01/11/2019","65,00","63,30","65,00","63,30","0,32K","0,78%"
"31/10/2019","64,50","63,20","64,50","63,20","0,52K","0,78%"
"30/10/2019","64,00","63,14","64,00","63,14","0,17K","0,00%"
"29/10/2019","64,00","64,00","64,00","64,00","2,20K","1,36%"
"28/10/2019","63,14","63,24","63,24","63,14","0,91K","-2,85%"
"25/10/2019","64,99","65,00","65,00","63,35","0,30K","-0,02%"
"24/10/2019","65,00","65,00","65,00","63,14","0,60K","0,00%"
"23/10/2019","65,00","64,99","65,00","64,99","0,51K","2,36%"
"22/10/2019","63,50","63,15","63,50","63,15","0,14K","0,47%"
"21/10/2019","63,20","63,30","63,30","63,12","0,36K","-0,16%"
"18/10/2019","63,30","64,00","64,00","63,30","0,53K","-1,09%"
"17/10/2019","64,00","63,30","64,00","63,25","0,43K","-1,54%"
"16/10/2019","65,00","63,40","65,00","63,12","1,42K","2,57%"
"14/10/2019","63,37","63,35","63,37","63,35","0,04K","0,25%"
"11/10/2019","63,21","64,00","64,00","63,21","5,01K","-4,52%"
"08/10/2019","66,20","66,20","66,20","66,20","0,02K","4,88%"
"07/10/2019","63,12","65,90","65,90","63,12","0,03K","-2,89%"
"04/10/2019","65,00","65,00","65,00","65,00","4,14K","-1,52%"
"03/10/2019","66,00","66,00","66,00","66,00","0,01K","-0,60%"
"02/10/2019","66,40","64,65","66,40","64,00","0,97K","2,63%"
"01/10/2019","64,70","64,51","64,70","64,51","0,50K","-2,71%"
"30/09/2019","66,50","65,90","66,50","65,90","0,23K","3,10%"
"27/09/2019","64,50","64,50","64,50","64,50","0,04K","-0,46%"
"26/09/2019","64,80","64,51","65,00","64,51","0,32K","-0,31%"
"25/09/2019","65,00","64,50","65,00","64,50","0,40K","0,00%"
"24/09/2019","65,00","66,00","66,90","64,01","0,23K","0,00%"
"23/09/2019","65,00","63,21","65,00","63,21","0,76K","3,17%"
"20/09/2019","63,00","64,80","64,80","63,00","4,93K","-2,78%"
"19/09/2019","64,80","64,74","64,80","64,74","0,10K","0,62%"
"18/09/2019","64,40","62,05","64,40","62,05","0,86K","3,79%"
"17/09/2019","62,05","61,91","64,40","61,91","0,04K","-4,49%"
"16/09/2019","64,97","64,00","64,97","64,00","0,01K","1,67%"
"13/09/2019","63,90","62,00","63,90","62,00","1,12K","3,06%"
"12/09/2019","62,00","62,12","62,12","62,00","0,28K","-0,05%"
"11/09/2019","62,03","63,23","64,50","61,00","10,09K","-3,08%"
"10/09/2019","64,00","64,60","65,00","63,10","1,59K","-1,54%"
"09/09/2019","65,00","65,00","65,00","65,00","0,87K","-1,52%"
"06/09/2019","66,00","66,00","66,00","64,61","0,44K","0,00%"
