"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","715","715","715","715","2,00K","2,14%"
"27/12/2019","700","700","700","700","0,20K","-3,45%"
"26/12/2019","725","725","725","725","0,00K","0,00%"
"24/12/2019","725","725","725","725","0,06K","3,57%"
"23/12/2019","700","710","710","700","0,13K","0,00%"
"20/12/2019","700","680","700","680","7,20K","1,45%"
"18/12/2019","690","690","690","690","0,44K","-1,15%"
"13/12/2019","698","685","698","685","26,50K","5,44%"
"11/12/2019","662","662","662","662","3,54K","-2,65%"
"10/12/2019","680","680","680","680","0,02K","-0,58%"
"06/12/2019","684","668","684","668","10,15K","3,64%"
"05/12/2019","660","660","660","660","0,05K","-0,75%"
"03/12/2019","665","665","665","665","0,02K","2,31%"
"02/12/2019","650","650","650","650","0,01K","-2,11%"
"28/11/2019","664","657","664","657","1,31K","1,37%"
"27/11/2019","655","650","655","650","1,26K","0,77%"
"26/11/2019","650","650","650","649","11,02K","-1,81%"
"22/11/2019","662","645","662","645","5,43K","3,44%"
"21/11/2019","640","659","660","640","8,18K","0,00%"
"20/11/2019","640","655","655","640","7,09K","-1,54%"
"15/11/2019","650","640","650","635","11,36K","0,00%"
"14/11/2019","650","640","650","640","3,13K","1,56%"
"13/11/2019","640","640","640","640","3,00K","0,00%"
"12/11/2019","640","651","651","640","7,82K","-1,69%"
"08/11/2019","651","621","651","621","0,34K","1,72%"
"07/11/2019","640","640","640","640","9,97K","0,79%"
"05/11/2019","635","635","635","635","0,17K","0,00%"
"04/11/2019","635","635","635","635","8,00K","-2,01%"
"01/11/2019","648","634","648","634","5,04K","2,21%"
"31/10/2019","634","616","634","608","0,19K","2,09%"
"30/10/2019","621","616","621","600","0,25K","-2,20%"
"29/10/2019","635","621","635","616","0,07K","0,00%"
"25/10/2019","635","635","635","635","1,77K","0,00%"
"24/10/2019","635","635","635","635","0,01K","0,00%"
"23/10/2019","635","649","649","635","5,01K","-0,78%"
"18/10/2019","640","635","640","635","10,06K","0,00%"
"11/10/2019","640","640","640","640","1,00K","1,59%"
"08/10/2019","630","630","630","630","5,72K","1,61%"
"07/10/2019","620","620","620","620","20,00K","-4,32%"
"04/10/2019","648","645","648","625","1,10K","5,88%"
"03/10/2019","612","612","612","612","20,00K","2,00%"
"01/10/2019","600","620","620","600","48,00K","-9,09%"
"27/09/2019","660","631","660","631","1,41K","4,76%"
"24/09/2019","630","633","633","630","1,51K","-0,32%"
"20/09/2019","632","660","660","632","0,55K","-4,96%"
"16/09/2019","665","665","665","665","0,01K","5,22%"
"09/09/2019","632","635","635","632","0,58K","-0,32%"
"06/09/2019","634","634","634","634","0,11K","-6,63%"
"05/09/2019","679","679","679","679","0,00K","4,30%"
"02/09/2019","651","651","651","651","0,01K","0,00%"
