"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","277,50","273,00","278,00","273,00","575,87K","1,30%"
"30/12/2019","273,95","272,90","273,95","272,90","75,12K","0,35%"
"27/12/2019","273,00","272,40","273,00","272,40","5,10K","0,00%"
"26/12/2019","273,00","272,40","273,00","272,40","2,35K","0,00%"
"25/12/2019","273,00","272,55","273,45","272,55","70,41K","-0,02%"
"24/12/2019","273,05","273,00","273,10","273,00","111,52K","0,02%"
"23/12/2019","273,00","273,50","273,50","273,00","217,23K","-0,36%"
"20/12/2019","274,00","273,90","274,50","273,90","154,61K","0,04%"
"19/12/2019","273,90","273,10","273,90","272,25","249,88K","-0,02%"
"18/12/2019","273,95","273,10","273,95","273,05","3,49K","0,00%"
"17/12/2019","273,95","273,00","273,95","272,15","22,33K","0,35%"
"16/12/2019","273,00","274,00","274,00","272,05","9,75K","-0,36%"
"13/12/2019","274,00","274,40","274,50","274,00","58,95K","-0,02%"
"12/12/2019","274,05","272,20","274,05","272,20","77,67K","0,04%"
"11/12/2019","273,95","273,90","274,00","272,15","37,11K","-0,02%"
"10/12/2019","274,00","272,15","274,00","272,10","23,25K","0,72%"
"09/12/2019","272,05","273,90","273,90","272,00","16,90K","-0,35%"
"06/12/2019","273,00","271,25","273,00","271,20","6,11K","0,72%"
"05/12/2019","271,05","270,15","272,00","270,15","20,42K","0,35%"
"04/12/2019","270,10","270,15","270,15","270,10","7,92K","-0,70%"
"03/12/2019","272,00","270,05","272,00","269,20","10,49K","0,33%"
"02/12/2019","271,10","273,30","273,30","271,10","11,87K","-1,06%"
"29/11/2019","274,00","272,95","274,00","272,95","68,29K","0,72%"
"28/11/2019","272,05","272,00","272,05","272,00","8,66K","0,02%"
"27/11/2019","272,00","271,00","272,00","270,80","16,02K","-0,22%"
"26/11/2019","272,60","271,00","272,60","271,00","28,18K","0,22%"
"25/11/2019","272,00","274,90","274,90","271,55","49,51K","-1,05%"
"22/11/2019","274,90","270,00","274,90","270,00","233,19K","1,46%"
"21/11/2019","270,95","270,00","270,95","269,15","16,84K","0,35%"
"20/11/2019","270,00","270,00","270,00","270,00","17,77K","-0,37%"
"19/11/2019","271,00","267,90","271,00","267,90","34,64K","0,37%"
"15/11/2019","270,00","267,25","270,00","267,25","27,64K","0,02%"
"14/11/2019","269,95","267,05","269,95","267,05","18,76K","0,73%"
"13/11/2019","268,00","266,35","268,00","266,35","232,12K","0,45%"
"12/11/2019","266,80","267,00","267,00","266,80","4,49K","-1,19%"
"08/11/2019","270,00","266,55","270,00","266,55","25,21K","0,75%"
"07/11/2019","268,00","267,00","268,00","267,00","19,87K","0,37%"
"05/11/2019","267,00","265,95","267,00","265,95","3,77K","0,19%"
"04/11/2019","266,50","265,95","266,50","265,95","9,12K","-0,91%"
"01/11/2019","268,95","268,95","268,95","268,95","1,70K","1,11%"
"31/10/2019","266,00","268,85","269,00","265,80","228,18K","-1,06%"
"30/10/2019","268,85","266,00","268,85","266,00","45,03K","1,07%"
"29/10/2019","266,00","266,00","266,00","264,50","1,63M","0,19%"
"28/10/2019","265,50","265,50","266,00","265,50","31,25K","-0,91%"
"25/10/2019","267,95","265,50","267,95","264,10","63,61K","0,92%"
"23/10/2019","265,50","264,05","265,50","264,00","0,44K","-0,91%"
"22/10/2019","267,95","263,70","267,95","263,60","11,64K","1,73%"
"21/10/2019","263,40","263,40","263,40","263,40","11,98K","-1,70%"
"18/10/2019","267,95","267,00","267,95","267,00","16,87K","-0,37%"
"17/10/2019","268,95","263,10","268,95","263,10","2,90K","2,22%"
"16/10/2019","263,10","265,00","265,00","263,05","7,00K","-0,72%"
"15/10/2019","265,00","265,00","265,00","265,00","12,30K","0,00%"
"14/10/2019","265,00","265,00","265,00","265,00","7,30K","0,04%"
"11/10/2019","264,90","265,95","267,00","263,50","33,51K","-0,04%"
"10/10/2019","265,00","265,05","265,05","262,40","5,26K","0,00%"
"09/10/2019","265,00","264,00","265,00","264,00","9,42K","0,00%"
"08/10/2019","265,00","266,30","266,30","265,00","2,09K","-0,47%"
"07/10/2019","266,25","266,25","266,25","266,25","0,01K","-0,28%"
"04/10/2019","267,00","266,05","267,50","266,05","23,52K","0,56%"
"03/10/2019","265,50","269,00","269,00","265,50","5,52K","-0,34%"
"02/10/2019","266,40","266,35","268,00","266,25","6,14K","-0,60%"
"01/10/2019","268,00","268,00","268,00","268,00","14,93K","0,00%"
