"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","1.660,00","1.660,00","1.660,00","1.660,00","75,00K","1,84%"
"30/12/2019","1.630,00","1.605,00","1.630,00","1.605,00","21,91K","1,88%"
"27/12/2019","1.600,00","1.600,00","1.600,00","1.600,00","6,09K","-2,74%"
"26/12/2019","1.645,00","1.615,00","1.649,00","1.615,00","1,47K","1,86%"
"25/12/2019","1.615,00","1.615,00","1.615,00","1.615,00","13,30K","0,00%"
"24/12/2019","1.615,00","1.642,00","1.642,00","1.615,00","23,21K","0,31%"
"23/12/2019","1.610,00","1.610,00","1.638,00","1.610,00","9,59K","0,00%"
"20/12/2019","1.610,00","1.571,00","1.610,00","1.560,00","10,56K","0,63%"
"19/12/2019","1.600,00","1.580,00","1.600,00","1.580,00","9,40K","1,27%"
"13/12/2019","1.580,00","1.580,00","1.580,00","1.580,00","1,50K","1,28%"
"12/12/2019","1.560,00","1.597,00","1.597,00","1.560,00","1,02K","0,00%"
"11/12/2019","1.560,00","1.560,00","1.560,00","1.560,00","0,00K","0,00%"
"10/12/2019","1.560,00","1.560,00","1.560,00","1.560,00","0,63K","-0,64%"
"06/12/2019","1.570,00","1.570,00","1.570,00","1.570,00","0,51K","0,58%"
"05/12/2019","1.561,00","1.561,00","1.561,00","1.561,00","0,00K","0,06%"
"03/12/2019","1.560,00","1.560,00","1.560,00","1.560,00","0,00K","0,32%"
"28/11/2019","1.555,00","1.600,00","1.600,00","1.535,00","7,58K","-2,81%"
"27/11/2019","1.600,00","1.604,00","1.605,00","1.600,00","1,00K","-2,85%"
"26/11/2019","1.647,00","1.620,00","1.647,00","1.600,00","11,80K","0,43%"
"22/11/2019","1.640,00","1.640,00","1.640,00","1.640,00","1,14K","0,00%"
"21/11/2019","1.640,00","1.640,00","1.641,00","1.640,00","10,78K","0,61%"
"20/11/2019","1.630,00","1.640,00","1.640,00","1.630,00","3,02K","-0,61%"
"15/11/2019","1.640,00","1.640,00","1.640,00","1.630,00","8,64K","-1,68%"
"14/11/2019","1.668,00","1.630,00","1.668,00","1.630,00","11,00K","1,09%"
"13/11/2019","1.650,00","1.650,00","1.650,00","1.650,00","11,85K","0,00%"
"12/11/2019","1.650,00","1.650,00","1.650,00","1.650,00","0,01K","0,00%"
"08/11/2019","1.650,00","1.640,00","1.650,00","1.640,00","0,17K","0,61%"
"07/11/2019","1.640,00","1.640,00","1.640,00","1.640,00","2,30K","0,61%"
"01/11/2019","1.630,00","1.635,00","1.635,00","1.630,00","3,88K","-0,61%"
"30/10/2019","1.640,00","1.640,00","1.640,00","1.640,00","0,30K","0,00%"
"29/10/2019","1.640,00","1.621,00","1.640,00","1.611,00","0,23K","0,00%"
"25/10/2019","1.640,00","1.667,00","1.670,00","1.601,00","3,54K","-0,61%"
"18/10/2019","1.650,00","1.628,00","1.650,00","1.600,00","8,96K","0,30%"
"11/10/2019","1.645,00","1.645,00","1.645,00","1.645,00","0,42K","1,23%"
"09/10/2019","1.625,00","1.625,00","1.625,00","1.625,00","0,09K","-0,91%"
"04/10/2019","1.640,00","1.640,00","1.640,00","1.640,00","3,00K","-1,20%"
"03/10/2019","1.660,00","1.660,00","1.660,00","1.660,00","0,17K","-0,90%"
"02/10/2019","1.675,00","1.675,00","1.675,00","1.675,00","0,20K","0,18%"
"01/10/2019","1.672,00","1.672,00","1.672,00","1.672,00","0,70K","0,12%"
"30/09/2019","1.670,00","1.685,00","1.685,00","1.645,00","0,42K","-0,89%"
"27/09/2019","1.685,00","1.685,00","1.685,00","1.685,00","9,00K","0,00%"
"25/09/2019","1.685,00","1.670,00","1.685,00","1.670,00","0,01K","0,00%"
"20/09/2019","1.685,00","1.641,00","1.685,00","1.641,00","1,73K","0,30%"
"19/09/2019","1.680,00","1.680,00","1.680,00","1.680,00","0,66K","0,00%"
"18/09/2019","1.680,00","1.680,00","1.680,00","1.680,00","0,29K","-0,30%"
"17/09/2019","1.685,00","1.697,00","1.697,00","1.685,00","0,27K","0,00%"
"13/09/2019","1.685,00","1.679,00","1.685,00","1.679,00","0,27K","0,00%"
"06/09/2019","1.685,00","1.685,00","1.685,00","1.685,00","0,29K","-1,23%"
"30/08/2019","1.706,00","1.724,00","1.729,00","1.690,00","1,81K","1,55%"
"29/08/2019","1.680,00","1.700,00","1.700,00","1.680,00","0,17K","-1,18%"
"28/08/2019","1.700,00","1.700,00","1.700,00","1.700,00","0,01K","0,12%"
"27/08/2019","1.698,00","1.640,00","1.698,00","1.605,00","0,41K","4,81%"
"26/08/2019","1.620,00","1.618,00","1.620,00","1.618,00","1,09K","0,00%"
"16/08/2019","1.620,00","1.620,00","1.620,00","1.620,00","0,91K","-1,22%"
"15/08/2019","1.640,00","1.640,00","1.640,00","1.640,00","0,00K","1,23%"
"09/08/2019","1.620,00","1.620,00","1.620,00","1.620,00","4,49K","-1,16%"
"08/08/2019","1.639,00","1.639,00","1.639,00","1.639,00","0,11K","3,73%"
"07/08/2019","1.580,00","1.580,00","1.580,00","1.580,00","0,08K","-3,66%"
"02/08/2019","1.640,00","1.601,00","1.640,00","1.601,00","4,67K","2,44%"
"01/08/2019","1.601,00","1.601,00","1.601,00","1.601,00","22,18K","0,25%"
"31/07/2019","1.597,00","1.601,00","1.601,00","1.597,00","10,66K","-0,25%"
"29/07/2019","1.601,00","1.600,00","1.601,00","1.600,00","5,40K","1,33%"
"26/07/2019","1.580,00","1.570,00","1.580,00","1.570,00","9,99K","0,00%"
"19/07/2019","1.580,00","1.585,00","1.585,00","1.580,00","3,21K","2,60%"
"18/07/2019","1.540,00","1.540,00","1.540,00","1.540,00","0,14K","-2,84%"
"17/07/2019","1.585,00","1.585,00","1.585,00","1.585,00","3,95K","0,00%"
"15/07/2019","1.585,00","1.585,00","1.585,00","1.585,00","5,00K","-0,94%"
"12/07/2019","1.600,00","1.600,00","1.600,00","1.600,00","0,03K","1,59%"
"11/07/2019","1.575,00","1.575,00","1.575,00","1.575,00","0,01K","-0,32%"
"10/07/2019","1.580,00","1.549,00","1.580,00","1.549,00","3,52K","2,27%"
"09/07/2019","1.545,00","1.545,00","1.545,00","1.545,00","0,00K","-0,32%"
"08/07/2019","1.550,00","1.550,00","1.550,00","1.550,00","1,50K","0,00%"
"05/07/2019","1.550,00","1.580,00","1.580,00","1.550,00","0,18K","-1,90%"
"02/07/2019","1.580,00","1.580,00","1.580,00","1.580,00","0,00K","1,28%"
"01/07/2019","1.560,00","1.560,00","1.560,00","1.560,00","0,04K","0,00%"
"28/06/2019","1.560,00","1.565,00","1.565,00","1.560,00","11,53K","-2,50%"
