"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","219,00","215,00","219,00","215,00","86,72K","0,00%"
"30/12/2019","219,00","219,00","219,00","212,00","7,03K","1,39%"
"27/12/2019","216,00","216,00","217,00","216,00","29,83K","0,47%"
"26/12/2019","215,00","221,00","221,00","215,00","22,05K","-1,38%"
"25/12/2019","218,00","220,00","222,00","218,00","308,06K","-0,91%"
"24/12/2019","220,00","222,00","222,00","220,00","40,26K","-1,79%"
"23/12/2019","224,00","224,00","224,00","220,00","17,15K","0,00%"
"20/12/2019","224,00","221,00","224,00","220,00","32,45K","0,00%"
"19/12/2019","224,00","220,00","224,00","220,00","25,20K","0,90%"
"18/12/2019","222,00","218,00","222,00","218,00","4,41K","0,45%"
"17/12/2019","221,00","220,00","221,00","219,00","79,09K","0,45%"
"16/12/2019","220,00","220,00","220,00","218,00","29,05K","0,46%"
"13/12/2019","219,00","217,00","219,00","217,00","12,00K","0,92%"
"12/12/2019","217,00","215,00","217,00","215,00","3,63K","-0,91%"
"11/12/2019","219,00","215,00","219,00","215,00","37,37K","1,86%"
"10/12/2019","215,00","212,00","218,00","212,00","6,84K","1,42%"
"09/12/2019","212,00","212,00","212,00","212,00","9,61K","0,00%"
"06/12/2019","212,00","214,00","214,00","211,00","99,72K","-0,93%"
"05/12/2019","214,00","215,00","215,00","214,00","50,01K","-0,47%"
"04/12/2019","215,00","215,00","215,00","215,00","0,04K","0,47%"
"03/12/2019","214,00","217,00","217,00","213,00","4,58K","-0,93%"
"02/12/2019","216,00","216,00","216,00","216,00","0,14K","0,00%"
"29/11/2019","216,00","218,00","219,00","216,00","130,12K","-0,92%"
"28/11/2019","218,00","219,00","219,00","217,00","8,03K","-0,46%"
"27/11/2019","219,00","217,00","219,00","217,00","10,10K","0,92%"
"26/11/2019","217,00","218,00","218,00","217,00","56,30K","-0,91%"
"25/11/2019","219,00","219,00","219,00","219,00","0,02K","1,39%"
"22/11/2019","216,00","216,00","220,00","216,00","33,65K","-0,46%"
"21/11/2019","217,00","213,00","217,00","212,00","2,67K","1,88%"
"20/11/2019","213,00","211,00","213,00","211,00","1,44K","0,95%"
"15/11/2019","211,00","212,00","213,00","211,00","2,16K","-0,47%"
"14/11/2019","212,00","212,00","212,00","212,00","18,57K","0,00%"
"13/11/2019","212,00","210,00","212,00","210,00","150,03K","0,95%"
"12/11/2019","210,00","210,00","210,00","210,00","0,06K","0,00%"
"08/11/2019","210,00","208,00","210,00","208,00","9,76K","0,00%"
"07/11/2019","210,00","208,00","210,00","208,00","2,54K","1,45%"
"05/11/2019","207,00","206,00","208,00","206,00","5,83K","-0,96%"
"04/11/2019","209,00","206,00","209,00","206,00","0,07K","0,97%"
"01/11/2019","207,00","207,00","207,00","206,00","11,37K","0,00%"
