"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","3.801,0","4.223,0","4.223,0","3.801,0","15,48K","-9,50%"
"30/12/2019","4.200,0","3.955,0","4.200,0","3.955,0","12,13K","0,00%"
"27/12/2019","4.200,0","3.950,0","4.200,0","3.900,0","3,73K","6,33%"
"26/12/2019","3.950,0","3.950,0","3.950,0","3.950,0","0,05K","-5,84%"
"24/12/2019","4.195,0","4.195,0","4.195,0","4.195,0","0,78K","6,18%"
"23/12/2019","3.951,0","3.950,0","3.951,0","3.950,0","0,03K","0,03%"
"20/12/2019","3.950,0","4.044,0","4.100,0","3.950,0","1,67K","-1,25%"
"12/12/2019","4.000,0","4.000,0","4.000,0","4.000,0","5,00K","0,00%"
"10/12/2019","4.000,0","4.068,0","4.150,0","4.000,0","0,11K","1,27%"
"06/12/2019","3.950,0","3.950,0","3.950,0","3.950,0","0,04K","0,87%"
"04/12/2019","3.916,0","3.928,0","3.928,0","3.916,0","0,01K","-0,86%"
"29/11/2019","3.950,0","3.950,0","3.950,0","3.950,0","0,15K","-1,25%"
"28/11/2019","4.000,0","4.050,0","4.050,0","4.000,0","0,02K","-2,44%"
"21/11/2019","4.100,0","4.100,0","4.100,0","4.100,0","0,69K","0,00%"
"20/11/2019","4.100,0","4.100,0","4.100,0","4.100,0","0,80K","0,49%"
"15/11/2019","4.080,0","4.080,0","4.080,0","4.080,0","0,01K","0,00%"
"14/11/2019","4.080,0","4.080,0","4.080,0","4.080,0","0,22K","-0,49%"
"13/11/2019","4.100,0","4.100,0","4.100,0","4.100,0","2,22K","0,00%"
"12/11/2019","4.100,0","4.100,0","4.100,0","4.100,0","0,00K","2,50%"
"07/11/2019","4.000,0","4.001,0","4.001,0","4.000,0","1,50K","0,00%"
"05/11/2019","4.000,0","4.075,0","4.075,0","4.000,0","5,00K","-4,76%"
"04/11/2019","4.200,0","4.200,0","4.200,0","4.200,0","0,00K","4,48%"
"01/11/2019","4.020,0","4.020,0","4.020,0","4.020,0","0,03K","0,00%"
"29/10/2019","4.020,0","4.020,0","4.020,0","4.020,0","0,00K","-2,90%"
"25/10/2019","4.140,0","4.140,0","4.140,0","4.140,0","0,25K","3,50%"
"18/10/2019","4.000,0","3.800,0","4.000,0","3.800,0","0,18K","6,41%"
"17/10/2019","3.759,0","3.759,0","3.759,0","3.759,0","0,02K","2,99%"
"11/10/2019","3.650,0","3.701,0","3.701,0","3.650,0","0,24K","-1,35%"
"08/10/2019","3.700,0","3.784,0","3.784,0","3.700,0","0,13K","-5,13%"
"04/10/2019","3.900,0","3.752,0","3.900,0","3.750,0","0,95K","6,85%"
"03/10/2019","3.650,0","3.650,0","3.650,0","3.650,0","0,05K","-3,95%"
"02/10/2019","3.800,0","3.800,0","3.800,0","3.800,0","0,02K","-2,56%"
"27/09/2019","3.900,0","3.600,0","3.900,0","3.600,0","0,32K","8,33%"
"23/09/2019","3.600,0","3.600,0","3.600,0","3.600,0","0,00K","-0,55%"
"20/09/2019","3.620,0","3.816,0","3.816,0","3.580,0","0,87K","1,12%"
"17/09/2019","3.580,0","3.610,0","3.610,0","3.580,0","0,31K","0,00%"
"12/09/2019","3.580,0","3.581,0","3.581,0","3.580,0","0,76K","-5,79%"
"09/09/2019","3.800,0","3.800,0","3.800,0","3.800,0","0,00K","9,92%"
"06/09/2019","3.457,0","4.000,0","4.000,0","3.457,0","0,03K","-9,88%"
"04/09/2019","3.836,0","3.836,0","3.836,0","3.836,0","0,01K","-2,07%"
"02/09/2019","3.917,0","4.038,0","4.038,0","3.917,0","0,00K","4,45%"
"09/08/2019","3.750,0","3.750,0","3.750,0","3.750,0","0,01K","0,00%"
"08/08/2019","3.750,0","3.750,0","3.750,0","3.750,0","0,00K","1,35%"
"07/08/2019","3.700,0","3.700,0","3.700,0","3.700,0","0,00K","1,09%"
"02/08/2019","3.660,0","3.660,0","3.660,0","3.660,0","0,00K","0,27%"
"19/07/2019","3.650,0","3.357,0","3.650,0","3.350,0","0,02K","0,00%"
"09/07/2019","3.650,0","3.650,0","3.650,0","3.650,0","0,00K","2,82%"
"01/07/2019","3.550,0","3.550,0","3.550,0","3.550,0","0,04K","0,00%"
"28/06/2019","3.550,0","3.550,0","3.550,0","3.550,0","0,20K","-1,06%"
"27/06/2019","3.588,0","3.588,0","3.588,0","3.588,0","0,20K","2,90%"
"14/06/2019","3.487,0","3.487,0","3.487,0","3.487,0","0,06K","0,43%"
"12/06/2019","3.472,0","3.472,0","3.472,0","3.472,0","0,00K","8,47%"
"10/06/2019","3.201,0","3.201,0","3.202,0","3.201,0","0,05K","-8,54%"
"29/05/2019","3.500,0","3.495,0","3.501,0","3.495,0","0,04K","0,09%"
"20/05/2019","3.497,0","3.497,0","3.497,0","3.497,0","0,00K","-0,09%"
"17/05/2019","3.500,0","3.500,0","3.500,0","3.500,0","0,01K","0,86%"
"16/05/2019","3.470,0","3.380,0","3.470,0","3.380,0","0,01K","7,76%"
"10/05/2019","3.220,0","3.220,0","3.220,0","3.220,0","0,01K","-5,88%"
"30/04/2019","3.421,0","3.421,0","3.455,0","3.421,0","0,01K","-1,38%"
"29/04/2019","3.469,0","3.470,0","3.470,0","3.469,0","0,00K","5,12%"
"26/04/2019","3.300,0","3.300,0","3.300,0","3.300,0","0,12K","-2,63%"
"25/04/2019","3.389,0","3.280,0","3.389,0","3.280,0","2,02K","5,22%"
"24/04/2019","3.221,0","3.280,0","3.280,0","3.221,0","0,05K","-0,06%"
"23/04/2019","3.223,0","3.224,0","3.224,0","3.223,0","0,01K","-1,71%"
"22/04/2019","3.279,0","3.230,0","3.279,0","3.230,0","0,03K","1,80%"
"19/04/2019","3.221,0","3.200,0","3.449,0","3.200,0","0,07K","-7,44%"
