"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","3.750,0","3.744,0","3.750,0","3.744,0","0,14K","0,13%"
"30/12/2019","3.745,0","3.745,0","3.745,0","3.745,0","0,03K","4,03%"
"27/12/2019","3.600,0","3.600,0","3.600,0","3.600,0","1,09K","-3,90%"
"26/12/2019","3.746,0","3.746,0","3.746,0","3.746,0","0,05K","0,00%"
"25/12/2019","3.746,0","3.701,0","3.746,0","3.626,0","0,03K","-0,08%"
"24/12/2019","3.749,0","3.749,0","3.749,0","3.749,0","0,37K","-0,03%"
"23/12/2019","3.750,0","3.750,0","3.750,0","3.750,0","1,08K","0,00%"
"20/12/2019","3.750,0","3.750,0","3.750,0","3.654,0","3,48K","0,03%"
"19/12/2019","3.749,0","3.653,0","3.749,0","3.653,0","0,72K","-0,03%"
"17/12/2019","3.750,0","3.702,0","3.750,0","3.700,0","1,68K","1,30%"
"16/12/2019","3.702,0","3.702,0","3.702,0","3.702,0","0,50K","0,00%"
"13/12/2019","3.702,0","3.703,0","3.703,0","3.702,0","0,76K","0,00%"
"12/12/2019","3.702,0","3.749,0","3.749,0","3.702,0","0,50K","0,00%"
"10/12/2019","3.702,0","3.749,0","3.749,0","3.702,0","0,02K","0,00%"
"09/12/2019","3.702,0","3.702,0","3.702,0","3.702,0","0,50K","0,05%"
"06/12/2019","3.700,0","3.700,0","3.701,0","3.700,0","0,79K","0,00%"
"05/12/2019","3.700,0","3.700,0","3.700,0","3.700,0","0,72K","0,00%"
"04/12/2019","3.700,0","3.675,0","3.700,0","3.675,0","1,39K","0,68%"
"03/12/2019","3.675,0","3.675,0","3.675,0","3.675,0","0,00K","0,00%"
"28/11/2019","3.675,0","3.676,0","3.676,0","3.675,0","0,54K","0,00%"
"27/11/2019","3.675,0","3.675,0","3.675,0","3.675,0","0,10K","0,00%"
"26/11/2019","3.675,0","3.670,0","3.680,0","3.670,0","1,61K","0,00%"
"25/11/2019","3.675,0","3.675,0","3.675,0","3.675,0","0,35K","0,27%"
"22/11/2019","3.665,0","3.695,0","3.700,0","3.665,0","0,20K","0,14%"
"20/11/2019","3.660,0","3.650,0","3.660,0","3.650,0","0,01K","0,27%"
"19/11/2019","3.650,0","3.650,0","3.650,0","3.650,0","0,86K","0,00%"
"15/11/2019","3.650,0","3.650,0","3.650,0","3.650,0","1,14K","0,27%"
"14/11/2019","3.640,0","3.640,0","3.640,0","3.640,0","0,01K","-0,22%"
"13/11/2019","3.648,0","3.648,0","3.648,0","3.648,0","0,00K","-0,05%"
"08/11/2019","3.650,0","3.650,0","3.650,0","3.600,0","3,05K","-0,27%"
"31/10/2019","3.660,0","3.660,0","3.660,0","3.660,0","0,01K","0,27%"
"30/10/2019","3.650,0","3.650,0","3.650,0","3.650,0","2,00K","-0,41%"
"28/10/2019","3.665,0","3.665,0","3.665,0","3.665,0","0,01K","0,41%"
"25/10/2019","3.650,0","3.650,0","3.650,0","3.650,0","0,00K","0,00%"
"21/10/2019","3.650,0","3.650,0","3.650,0","3.650,0","0,21K","1,36%"
"18/10/2019","3.601,0","3.650,0","3.650,0","3.601,0","0,69K","-1,34%"
"17/10/2019","3.650,0","3.650,0","3.650,0","3.650,0","1,51K","0,27%"
"16/10/2019","3.640,0","3.766,0","3.766,0","3.640,0","2,56K","-4,21%"
"15/10/2019","3.800,0","3.739,0","3.800,0","3.739,0","0,26K","2,15%"
"14/10/2019","3.720,0","3.660,0","3.720,0","3.650,0","4,18K","2,62%"
"11/10/2019","3.625,0","3.625,0","3.625,0","3.625,0","0,14K","0,67%"
"10/10/2019","3.601,0","3.601,0","3.601,0","3.601,0","0,01K","-0,66%"
