"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","2.683,0","2.967,0","3.000,0","2.683,0","72,57K","-9,97%"
"30/12/2019","2.980,0","2.901,0","2.990,0","2.901,0","51,26K","-0,33%"
"27/12/2019","2.990,0","2.820,0","2.990,0","2.820,0","6,86K","3,07%"
"25/12/2019","2.901,0","2.901,0","2.901,0","2.901,0","0,00K","-1,49%"
"24/12/2019","2.945,0","2.945,0","2.945,0","2.945,0","6,15K","0,00%"
"23/12/2019","2.945,0","2.900,0","2.947,0","2.900,0","7,82K","-0,07%"
"20/12/2019","2.947,0","2.900,0","2.947,0","2.850,0","6,53K","1,62%"
"19/12/2019","2.900,0","2.898,0","2.900,0","2.898,0","1,92K","0,00%"
"18/12/2019","2.900,0","2.860,0","2.900,0","2.860,0","0,31K","0,00%"
"17/12/2019","2.900,0","2.900,0","2.900,0","2.900,0","1,44K","0,00%"
"16/12/2019","2.900,0","2.899,0","2.900,0","2.899,0","10,57K","0,03%"
"13/12/2019","2.899,0","2.899,0","2.899,0","2.899,0","0,94K","0,00%"
"12/12/2019","2.899,0","2.850,0","2.900,0","2.850,0","4,92K","-0,03%"
"10/12/2019","2.900,0","2.900,0","2.900,0","2.900,0","1,85K","0,00%"
"09/12/2019","2.900,0","2.900,0","2.900,0","2.900,0","4,50K","-1,49%"
"06/12/2019","2.944,0","2.944,0","2.944,0","2.944,0","0,00K","-0,10%"
"05/12/2019","2.947,0","2.945,0","2.947,0","2.945,0","2,66K","0,07%"
"03/12/2019","2.945,0","2.950,0","2.950,0","2.945,0","1,81K","-0,07%"
"02/12/2019","2.947,0","2.950,0","2.950,0","2.947,0","1,14K","-0,10%"
"29/11/2019","2.950,0","2.922,0","2.950,0","2.901,0","6,88K","0,07%"
"28/11/2019","2.948,0","2.988,0","2.998,0","2.920,0","3,05K","0,34%"
"27/11/2019","2.938,0","2.938,0","2.950,0","2.938,0","7,66K","0,00%"
"26/11/2019","2.938,0","2.899,0","2.938,0","2.899,0","17,70K","2,98%"
"25/11/2019","2.853,0","2.850,0","2.853,0","2.850,0","2,08K","0,00%"
"22/11/2019","2.853,0","2.850,0","2.853,0","2.850,0","2,26K","0,11%"
"21/11/2019","2.850,0","2.800,0","2.850,0","2.800,0","3,41K","1,79%"
"20/11/2019","2.800,0","2.770,0","2.800,0","2.770,0","2,43K","1,63%"
"15/11/2019","2.755,0","2.780,0","2.800,0","2.755,0","0,62K","0,18%"
"14/11/2019","2.750,0","2.750,0","2.751,0","2.750,0","5,66K","0,00%"
"13/11/2019","2.750,0","2.750,0","2.750,0","2.750,0","0,62K","0,00%"
"08/11/2019","2.750,0","2.704,0","2.750,0","2.704,0","0,06K","0,00%"
"07/11/2019","2.750,0","2.751,0","2.751,0","2.750,0","0,42K","0,00%"
