"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","1.850,00","1.800,00","1.850,00","1.800,00","48,00K","1,93%"
"30/12/2019","1.815,00","1.825,00","1.825,00","1.800,00","6,43K","-0,77%"
"27/12/2019","1.829,00","1.830,00","1.840,00","1.829,00","10,79K","-0,05%"
"26/12/2019","1.830,00","1.805,00","1.830,00","1.800,00","1,06K","-0,54%"
"25/12/2019","1.840,00","1.803,00","1.840,00","1.803,00","10,49K","0,00%"
"24/12/2019","1.840,00","1.840,00","1.840,00","1.801,00","11,36K","2,22%"
"23/12/2019","1.800,00","1.785,00","1.850,00","1.785,00","3,16K","0,00%"
"20/12/2019","1.800,00","1.780,00","1.805,00","1.780,00","22,78K","1,12%"
"19/12/2019","1.780,00","1.775,00","1.784,00","1.775,00","19,11K","-0,22%"
"18/12/2019","1.784,00","1.784,00","1.784,00","1.784,00","0,09K","-0,22%"
"17/12/2019","1.788,00","1.788,00","1.788,00","1.788,00","1,50K","0,00%"
"13/12/2019","1.788,00","1.750,00","1.788,00","1.750,00","9,02K","2,17%"
"12/12/2019","1.750,00","1.713,00","1.750,00","1.713,00","2,81K","2,16%"
"10/12/2019","1.713,00","1.716,00","1.716,00","1.712,00","7,16K","0,53%"
"09/12/2019","1.704,00","1.750,00","1.750,00","1.704,00","3,00K","0,12%"
"06/12/2019","1.702,00","1.702,00","1.702,00","1.700,00","15,75K","0,12%"
"05/12/2019","1.700,00","1.702,00","1.703,00","1.700,00","18,82K","-0,58%"
"03/12/2019","1.710,00","1.710,00","1.710,00","1.710,00","0,01K","-2,29%"
"29/11/2019","1.750,00","1.755,00","1.755,00","1.750,00","9,07K","-1,69%"
"28/11/2019","1.780,00","1.760,00","1.780,00","1.755,00","2,05K","0,06%"
"27/11/2019","1.779,00","1.770,00","1.779,00","1.770,00","3,15K","0,51%"
"26/11/2019","1.770,00","1.761,00","1.770,00","1.711,00","8,06K","-0,56%"
"25/11/2019","1.780,00","1.778,00","1.780,00","1.778,00","0,02K","1,14%"
"22/11/2019","1.760,00","1.750,00","1.779,00","1.750,00","12,09K","0,57%"
"21/11/2019","1.750,00","1.685,00","1.750,00","1.685,00","18,22K","3,55%"
"20/11/2019","1.690,00","1.678,00","1.690,00","1.678,00","5,96K","-1,17%"
"15/11/2019","1.710,00","1.677,00","1.710,00","1.677,00","6,21K","0,06%"
"14/11/2019","1.709,00","1.676,00","1.709,00","1.676,00","11,13K","0,53%"
"13/11/2019","1.700,00","1.680,00","1.700,00","1.680,00","11,79K","1,19%"
"08/11/2019","1.680,00","1.681,00","1.681,00","1.675,00","0,15K","-1,75%"
"07/11/2019","1.710,00","1.710,00","1.710,00","1.710,00","0,02K","2,09%"
"05/11/2019","1.675,00","1.675,00","1.675,00","1.675,00","0,19K","0,90%"
"04/11/2019","1.660,00","1.665,00","1.665,00","1.660,00","0,04K","-2,64%"
"01/11/2019","1.705,00","1.707,00","1.707,00","1.705,00","1,89K","1,79%"
"31/10/2019","1.675,00","1.675,00","1.675,00","1.675,00","0,13K","0,00%"
"30/10/2019","1.675,00","1.675,00","1.675,00","1.675,00","2,04K","0,00%"
"29/10/2019","1.675,00","1.675,00","1.675,00","1.675,00","1,00K","0,54%"
"28/10/2019","1.666,00","1.680,00","1.680,00","1.666,00","0,05K","-2,40%"
"25/10/2019","1.707,00","1.660,00","1.707,00","1.660,00","11,88K","1,61%"
"24/10/2019","1.680,00","1.680,00","1.680,00","1.636,00","2,87K","0,24%"
"23/10/2019","1.676,00","1.635,00","1.676,00","1.631,00","0,02K","2,95%"
"22/10/2019","1.628,00","1.630,00","1.630,00","1.628,00","0,02K","-1,09%"
"21/10/2019","1.646,00","1.646,00","1.646,00","1.646,00","0,22K","-0,84%"
"18/10/2019","1.660,00","1.657,00","1.660,00","1.657,00","4,01K","0,18%"
"17/10/2019","1.657,00","1.636,00","1.657,00","1.621,00","0,70K","0,00%"
"16/10/2019","1.657,00","1.657,00","1.657,00","1.657,00","0,66K","-0,18%"
"15/10/2019","1.660,00","1.631,00","1.660,00","1.620,00","4,22K","-0,60%"
"11/10/2019","1.670,00","1.623,00","1.670,00","1.623,00","3,47K","3,02%"
"10/10/2019","1.621,00","1.653,00","1.653,00","1.621,00","0,02K","-2,93%"
"09/10/2019","1.670,00","1.670,00","1.670,00","1.670,00","0,11K","-1,65%"
"04/10/2019","1.698,00","1.700,00","1.700,00","1.698,00","2,17K","-0,12%"
"03/10/2019","1.700,00","1.700,00","1.700,00","1.700,00","1,03K","-0,87%"
"02/10/2019","1.715,00","1.700,00","1.715,00","1.700,00","0,00K","0,88%"
"30/09/2019","1.700,00","1.700,00","1.700,00","1.700,00","0,50K","0,00%"
"27/09/2019","1.700,00","1.701,00","1.718,00","1.700,00","9,18K","0,00%"
"26/09/2019","1.700,00","1.700,00","1.700,00","1.700,00","0,51K","0,06%"
"25/09/2019","1.699,00","1.699,00","1.699,00","1.699,00","0,01K","-0,06%"
"24/09/2019","1.700,00","1.680,00","1.700,00","1.680,00","4,89K","0,00%"
"23/09/2019","1.700,00","1.700,00","1.700,00","1.700,00","0,02K","3,03%"
"20/09/2019","1.650,00","1.675,00","1.675,00","1.625,00","4,40K","-2,88%"
"19/09/2019","1.699,00","1.675,00","1.699,00","1.675,00","3,12K","1,37%"
"18/09/2019","1.676,00","1.676,00","1.676,00","1.676,00","0,62K","-1,41%"
"17/09/2019","1.700,00","1.671,00","1.700,00","1.671,00","0,69K","0,00%"
"16/09/2019","1.700,00","1.700,00","1.700,00","1.700,00","1,01K","1,74%"
"13/09/2019","1.671,00","1.671,00","1.671,00","1.671,00","0,15K","0,00%"
"06/09/2019","1.671,00","1.671,00","1.671,00","1.671,00","0,37K","-1,12%"
"04/09/2019","1.690,00","1.690,00","1.690,00","1.690,00","0,62K","-1,17%"
"02/09/2019","1.710,00","1.710,00","1.710,00","1.710,00","1,85K","-0,81%"
"30/08/2019","1.724,00","1.750,00","1.750,00","1.724,00","0,08K","-1,49%"
"29/08/2019","1.750,00","1.750,00","1.750,00","1.750,00","0,27K","0,29%"
"28/08/2019","1.745,00","1.745,00","1.745,00","1.745,00","0,16K","0,00%"
"27/08/2019","1.745,00","1.700,00","1.749,00","1.700,00","7,13K","2,95%"
"26/08/2019","1.695,00","1.695,00","1.695,00","1.695,00","0,47K","0,00%"
"23/08/2019","1.695,00","1.675,00","1.695,00","1.675,00","0,34K","0,00%"
"19/08/2019","1.695,00","1.695,00","1.695,00","1.695,00","0,42K","-1,45%"
"09/08/2019","1.720,00","1.720,00","1.720,00","1.720,00","1,30K","1,24%"
"08/08/2019","1.699,00","1.680,00","1.699,00","1.680,00","0,10K","1,13%"
"07/08/2019","1.680,00","1.680,00","1.680,00","1.680,00","0,02K","0,24%"
"06/08/2019","1.676,00","1.675,00","1.676,00","1.675,00","1,41K","0,06%"
"05/08/2019","1.675,00","1.675,00","1.698,00","1.675,00","0,05K","-0,30%"
"02/08/2019","1.680,00","1.680,00","1.680,00","1.680,00","0,01K","-1,12%"
"31/07/2019","1.699,00","1.630,00","1.699,00","1.630,00","0,02K","1,43%"
"29/07/2019","1.675,00","1.675,00","1.700,00","1.600,00","2,00K","0,00%"
"26/07/2019","1.675,00","1.650,00","1.675,00","1.650,00","1,03K","0,30%"
"23/07/2019","1.670,00","1.670,00","1.670,00","1.670,00","0,08K","3,53%"
"22/07/2019","1.613,00","1.613,00","1.613,00","1.613,00","0,00K","-2,54%"
"19/07/2019","1.655,00","1.655,00","1.655,00","1.655,00","2,42K","2,16%"
"18/07/2019","1.620,00","1.586,00","1.620,00","1.586,00","0,10K","-2,99%"
"17/07/2019","1.670,00","1.640,00","1.670,00","1.640,00","7,73K","3,73%"
"11/07/2019","1.610,00","1.610,00","1.610,00","1.610,00","0,01K","-2,42%"
"10/07/2019","1.650,00","1.610,00","1.650,00","1.610,00","0,50K","2,55%"
"09/07/2019","1.609,00","1.560,00","1.609,00","1.560,00","0,01K","1,51%"
"08/07/2019","1.585,00","1.585,00","1.585,00","1.585,00","0,03K","-3,88%"
"05/07/2019","1.649,00","1.649,00","1.649,00","1.649,00","0,20K","-1,73%"
"03/07/2019","1.678,00","1.678,00","1.678,00","1.678,00","0,00K","2,94%"
"01/07/2019","1.630,00","1.540,00","1.630,00","1.540,00","0,26K","-1,21%"
