"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","850,00","850,00","850,00","823,00","32,57K","0,00%"
"30/12/2019","850,00","857,00","858,00","840,00","2,52K","0,00%"
"27/12/2019","850,00","865,00","878,00","850,00","10,48K","0,59%"
"26/12/2019","845,00","880,00","880,00","825,00","2,49K","-3,76%"
"25/12/2019","878,00","890,00","900,00","875,00","0,86K","2,09%"
"24/12/2019","860,00","818,00","878,00","818,00","15,94K","7,50%"
"23/12/2019","800,00","755,00","800,00","750,00","9,40K","3,90%"
"20/12/2019","770,00","770,00","770,00","770,00","2,00K","2,67%"
"19/12/2019","750,00","750,00","750,00","750,00","0,61K","0,00%"
"18/12/2019","750,00","751,00","755,00","750,00","0,37K","0,00%"
"17/12/2019","750,00","760,00","760,00","750,00","0,37K","-1,32%"
"16/12/2019","760,00","761,00","762,00","750,00","2,58K","0,00%"
"13/12/2019","760,00","765,00","765,00","760,00","7,20K","-2,56%"
"12/12/2019","780,00","780,00","780,00","780,00","0,03K","2,23%"
"11/12/2019","763,00","772,00","780,00","756,00","1,85K","-0,26%"
"10/12/2019","765,00","740,00","765,00","740,00","3,35K","2,00%"
"09/12/2019","750,00","750,00","750,00","745,00","0,05K","0,00%"
"06/12/2019","750,00","750,00","765,00","750,00","3,87K","0,00%"
"05/12/2019","750,00","745,00","765,00","745,00","2,22K","1,35%"
"04/12/2019","740,00","740,00","740,00","740,00","0,05K","0,00%"
"03/12/2019","740,00","738,00","740,00","737,00","0,10K","0,82%"
"02/12/2019","734,00","726,00","734,00","724,00","0,03K","1,94%"
"29/11/2019","720,00","770,00","770,00","720,00","0,56K","-4,00%"
"28/11/2019","750,00","760,00","760,00","750,00","0,04K","-1,32%"
"27/11/2019","760,00","750,00","772,00","740,00","7,22K","3,26%"
"26/11/2019","736,00","744,00","744,00","736,00","0,03K","-1,21%"
"25/11/2019","745,00","745,00","745,00","745,00","1,50K","0,00%"
"22/11/2019","745,00","743,00","745,00","743,00","0,02K","-0,40%"
"19/11/2019","748,00","750,00","750,00","725,00","0,04K","0,40%"
"15/11/2019","745,00","720,00","745,00","720,00","0,35K","10,04%"
"14/11/2019","677,00","745,00","750,00","677,00","0,59K","-9,73%"
"13/11/2019","750,00","741,00","750,00","741,00","2,08K","1,35%"
"12/11/2019","740,00","735,00","740,00","735,00","0,01K","0,00%"
"08/11/2019","740,00","735,00","746,00","735,00","0,21K","-1,33%"
"05/11/2019","750,00","740,00","750,00","725,00","0,04K","1,35%"
"04/11/2019","740,00","750,00","750,00","740,00","0,06K","-1,33%"
"01/11/2019","750,00","740,00","750,00","740,00","0,62K","1,35%"
"29/10/2019","740,00","740,00","740,00","740,00","0,08K","0,41%"
"28/10/2019","737,00","739,00","739,00","737,00","0,02K","-3,03%"
"25/10/2019","760,00","739,00","760,00","739,00","0,31K","0,00%"
"24/10/2019","760,00","769,00","769,00","760,00","0,12K","-1,17%"
"21/10/2019","769,00","800,00","800,00","769,00","0,11K","2,53%"
"18/10/2019","750,00","730,00","760,00","727,00","2,35K","0,00%"
"17/10/2019","750,00","716,00","750,00","716,00","0,13K","4,02%"
"16/10/2019","721,00","730,00","732,00","721,00","0,60K","0,14%"
"11/10/2019","720,00","720,00","720,00","720,00","1,68K","-0,69%"
"10/10/2019","725,00","732,00","732,00","722,00","0,06K","-3,33%"
"04/10/2019","750,00","750,00","750,00","750,00","0,47K","-1,06%"
"02/10/2019","758,00","754,00","760,00","754,00","0,03K","1,74%"
"30/09/2019","745,00","745,00","765,00","745,00","4,54K","0,00%"
"27/09/2019","745,00","743,00","745,00","743,00","0,17K","0,00%"
"26/09/2019","745,00","745,00","745,00","745,00","0,00K","0,00%"
"25/09/2019","745,00","731,00","745,00","712,00","1,43K","-2,87%"
"23/09/2019","767,00","767,00","767,00","767,00","0,04K","2,27%"
"20/09/2019","750,00","755,00","755,00","750,00","3,04K","-0,66%"
"19/09/2019","755,00","755,00","755,00","755,00","0,00K","-1,31%"
"17/09/2019","765,00","764,00","765,00","764,00","12,04K","-3,89%"
"16/09/2019","796,00","796,00","796,00","796,00","0,01K","0,00%"
"13/09/2019","796,00","766,00","796,00","757,00","0,12K","2,05%"
"11/09/2019","780,00","780,00","780,00","780,00","0,01K","0,00%"
"10/09/2019","780,00","812,00","812,00","780,00","0,03K","-4,29%"
"09/09/2019","815,00","815,00","815,00","815,00","0,01K","1,88%"
"06/09/2019","800,00","800,00","800,00","800,00","0,14K","6,67%"
"05/09/2019","750,00","750,00","760,00","750,00","2,08K","2,74%"
"04/09/2019","730,00","730,00","730,00","730,00","0,84K","0,00%"
"03/09/2019","730,00","740,00","740,00","730,00","0,29K","-0,68%"
"02/09/2019","735,00","722,00","735,00","722,00","0,97K","-5,77%"
"30/08/2019","780,00","781,00","787,00","780,00","0,27K","-1,64%"
"29/08/2019","793,00","793,00","793,00","793,00","0,01K","0,00%"
"28/08/2019","793,00","780,00","795,00","770,00","0,33K","1,80%"
"27/08/2019","779,00","780,00","780,00","760,00","0,54K","-0,13%"
"26/08/2019","780,00","780,00","780,00","780,00","0,00K","-1,89%"
"23/08/2019","795,00","786,00","795,00","780,00","0,14K","-0,63%"
"22/08/2019","800,00","790,00","800,00","785,00","0,18K","0,00%"
"16/08/2019","800,00","807,00","809,00","800,00","0,53K","-3,26%"
