"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","250,00","265,00","265,00","250,00","6,33K","-5,66%"
"30/12/2019","265,00","264,00","265,00","255,00","3,25K","0,00%"
"27/12/2019","265,00","266,00","266,00","265,00","1,15K","-1,12%"
"26/12/2019","268,00","271,00","271,00","268,00","0,83K","-1,11%"
"25/12/2019","271,00","271,00","271,00","271,00","0,12K","-1,09%"
"24/12/2019","274,00","275,00","275,00","270,00","2,46K","-1,08%"
"23/12/2019","277,00","266,00","277,00","265,00","0,93K","2,59%"
"20/12/2019","270,00","269,00","270,00","269,00","0,59K","-0,37%"
"19/12/2019","271,00","266,00","271,00","266,00","0,09K","1,88%"
"18/12/2019","266,00","275,00","277,00","266,00","0,60K","-1,48%"
"17/12/2019","270,00","267,00","274,00","263,00","0,69K","-2,17%"
"16/12/2019","276,00","266,00","276,00","265,00","0,05K","4,15%"
"13/12/2019","265,00","265,00","265,00","265,00","0,01K","-2,21%"
"12/12/2019","271,00","271,00","285,00","271,00","5,53K","0,37%"
"11/12/2019","270,00","251,00","270,00","250,00","14,37K","4,25%"
"10/12/2019","259,00","259,00","259,00","259,00","0,03K","0,00%"
"09/12/2019","259,00","250,00","259,00","250,00","2,48K","3,60%"
"06/12/2019","250,00","256,00","263,00","250,00","0,77K","-5,66%"
"05/12/2019","265,00","255,00","265,00","255,00","0,02K","-0,75%"
"04/12/2019","267,00","259,00","267,00","259,00","0,17K","6,80%"
"03/12/2019","250,00","250,00","250,00","250,00","0,11K","-0,40%"
"02/12/2019","251,00","257,00","260,00","250,00","0,78K","-3,46%"
"29/11/2019","260,00","269,00","274,00","260,00","1,32K","-3,70%"
"28/11/2019","270,00","269,00","270,00","269,00","0,53K","0,00%"
"27/11/2019","270,00","275,00","278,00","269,00","0,86K","-3,57%"
"25/11/2019","280,00","288,00","288,00","280,00","0,02K","0,00%"
"22/11/2019","280,00","286,00","286,00","275,00","0,53K","-1,06%"
"21/11/2019","283,00","285,00","285,00","275,00","0,12K","1,07%"
"20/11/2019","280,00","297,00","299,00","271,00","5,30K","-5,41%"
"19/11/2019","296,00","282,00","300,00","282,00","3,03K","4,96%"
"15/11/2019","282,00","283,00","290,00","275,00","1,25K","-1,40%"
"14/11/2019","286,00","286,00","292,00","277,00","1,49K","-1,04%"
"13/11/2019","289,00","265,00","289,00","265,00","3,97K","9,06%"
"12/11/2019","265,00","256,00","265,00","256,00","0,99K","7,72%"
"07/11/2019","246,00","250,00","250,00","246,00","0,09K","-3,15%"
"04/11/2019","254,00","250,00","254,00","246,00","0,34K","1,60%"
"01/11/2019","250,00","244,00","260,00","244,00","2,68K","4,60%"
"31/10/2019","239,00","244,00","244,00","239,00","0,15K","0,42%"
"30/10/2019","238,00","238,00","238,00","238,00","0,02K","0,00%"
"29/10/2019","238,00","244,00","244,00","238,00","0,04K","-0,83%"
"28/10/2019","240,00","236,00","244,00","236,00","0,19K","1,69%"
"25/10/2019","236,00","240,00","245,00","236,00","1,71K","2,61%"
"24/10/2019","230,00","228,00","230,00","225,00","0,41K","3,60%"
"23/10/2019","222,00","222,00","222,00","222,00","0,01K","2,78%"
"22/10/2019","216,00","220,00","220,00","216,00","8,54K","-1,82%"
"21/10/2019","220,00","215,00","221,00","215,00","0,75K","4,76%"
"18/10/2019","210,00","230,00","231,00","210,00","1,97K","-8,70%"
"17/10/2019","230,00","230,00","230,00","230,00","0,15K","0,00%"
"16/10/2019","230,00","230,00","230,00","230,00","0,13K","0,00%"
"15/10/2019","230,00","230,00","230,00","230,00","0,61K","-0,43%"
"14/10/2019","231,00","232,00","232,00","231,00","0,24K","0,43%"
"11/10/2019","230,00","230,00","230,00","230,00","0,05K","0,00%"
"10/10/2019","230,00","230,00","230,00","230,00","0,02K","-2,13%"
"09/10/2019","235,00","225,00","235,00","225,00","0,04K","0,00%"
"08/10/2019","235,00","235,00","235,00","235,00","0,36K","2,17%"
"07/10/2019","230,00","232,00","232,00","228,00","0,48K","0,00%"
"04/10/2019","230,00","248,00","248,00","230,00","1,09K","-6,50%"
"03/10/2019","246,00","240,00","246,00","240,00","0,13K","2,50%"
"02/10/2019","240,00","239,00","240,00","235,00","0,24K","0,00%"
"01/10/2019","240,00","248,00","248,00","234,00","1,01K","-3,23%"
"30/09/2019","248,00","240,00","248,00","240,00","2,41K","3,33%"
"27/09/2019","240,00","255,00","256,00","240,00","2,51K","-6,25%"
"26/09/2019","256,00","260,00","260,00","256,00","0,07K","0,00%"
"25/09/2019","256,00","257,00","257,00","256,00","0,39K","-2,29%"
"24/09/2019","262,00","258,00","262,00","258,00","0,40K","0,00%"
"23/09/2019","262,00","257,00","262,00","257,00","0,08K","-0,76%"
"20/09/2019","264,00","260,00","264,00","257,00","0,56K","1,54%"
"19/09/2019","260,00","260,00","260,00","260,00","0,02K","0,00%"
"18/09/2019","260,00","260,00","260,00","260,00","0,98K","0,00%"
"17/09/2019","260,00","264,00","264,00","260,00","0,67K","-1,52%"
"13/09/2019","264,00","266,00","266,00","264,00","0,03K","-0,75%"
"12/09/2019","266,00","266,00","266,00","266,00","0,03K","0,00%"
"11/09/2019","266,00","266,00","266,00","266,00","0,02K","-1,12%"
"09/09/2019","269,00","270,00","272,00","269,00","0,12K","-0,37%"
"06/09/2019","270,00","272,00","272,00","270,00","0,01K","3,45%"
"05/09/2019","261,00","261,00","261,00","261,00","0,02K","1,56%"
"04/09/2019","257,00","265,00","265,00","255,00","3,30K","-1,15%"
"03/09/2019","260,00","260,00","264,00","260,00","0,16K","0,00%"
"02/09/2019","260,00","260,00","260,00","260,00","0,03K","0,00%"
"30/08/2019","260,00","264,00","266,00","260,00","1,22K","-4,41%"
"29/08/2019","272,00","263,00","272,00","263,00","0,06K","0,74%"
"28/08/2019","270,00","266,00","270,00","262,00","1,66K","1,50%"
"27/08/2019","266,00","268,00","271,00","266,00","0,07K","0,38%"
"26/08/2019","265,00","269,00","269,00","265,00","0,52K","-1,49%"
"23/08/2019","269,00","271,00","273,00","269,00","1,66K","-2,18%"
"22/08/2019","275,00","269,00","275,00","269,00","0,07K","1,48%"
"19/08/2019","271,00","275,00","275,00","269,00","1,13K","-1,45%"
"16/08/2019","275,00","270,00","275,00","270,00","0,65K","1,85%"
"15/08/2019","270,00","270,00","270,00","270,00","0,01K","0,00%"
"09/08/2019","270,00","270,00","270,00","270,00","0,01K","0,00%"
"08/08/2019","270,00","265,00","270,00","265,00","0,46K","0,00%"
"07/08/2019","270,00","269,00","270,00","266,00","0,21K","0,75%"
